adset_id,fb_ad_account_id,account_name,date,spend,impressions,clicks,fb_conversions,estimated_conversions,revenue,profit,roi,rpc,cpa,ctr,cr,first_spend_date,spend_day_no
730115349711532218,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-05,5
730133942771629693,9948963373021856,ACC-01,2026-06-06,2.4003,381,31,7,7.0,2.286,-0.1143,-0.0476,0.3266,0.3429,0.081365,0.225806,2026-06-05,2
730133942771629693,9948963373021856,ACC-01,2026-06-07,2.921,553,49,9,9.0,3.2512,0.3302,0.113,0.3612,0.3246,0.088608,0.183673,2026-06-05,3
730133942771629693,9948963373021856,ACC-01,2026-06-08,3.2512,524,43,8,8.0,2.6416,-0.6096,-0.1875,0.3302,0.4064,0.082061,0.186047,2026-06-05,4
730133942771629693,9948963373021856,ACC-01,2026-06-09,3.683,535,49,12,13.0,4.1656,0.4826,0.131,0.3204,0.2833,0.091589,0.244898,2026-06-05,5
730133942771629693,9948963373021856,ACC-01,2026-06-10,1.1938,111,14,1,1.0,0.7239,-0.4699,-0.3936,0.7239,1.1938,0.126126,0.071429,2026-06-05,6
730133942771629693,9948963373021856,ACC-01,2026-06-11,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-05,6
730133942771629693,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-05,6
730122709357812221,9948963373021856,ACC-01,2026-06-09,27.4,3120,290,64,71.0,44.39,16.99,0.6201,0.6252,0.3859,0.092949,0.244828,2026-06-10,0
730122709357812221,9948963373021856,ACC-01,2026-06-10,41.49,165,9,3,3.0,21.58,-19.91,-0.4799,7.1933,13.83,0.054545,0.333333,2026-06-10,1
730122709357812221,9948963373021856,ACC-01,2026-06-11,120.47,397,19,5,5.0,169.87,49.4,0.4101,33.974,24.094,0.047859,0.263158,2026-06-10,2
730122709357812221,9948963373021856,ACC-01,2026-06-12,72.47,272,18,10,11.0,46.38,-26.09,-0.36,4.2164,6.5882,0.066176,0.555556,2026-06-10,3
730115608042691299,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730115608042691299,9948963373021856,ACC-01,2026-06-10,1.7653,58,3,0,0.0,0.0,-1.7653,-1.0,0.0,0.0,0.051724,0.0,2026-06-10,1
730115608042691299,9948963373021856,ACC-01,2026-06-11,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,1
730115608042691299,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,1
730121282923468195,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730121282923468195,9948963373021856,ACC-01,2026-06-10,1.0668,89,6,0,0.0,4.2545,3.1877,2.9881,0.0,0.0,0.067416,0.0,2026-06-10,1
730121282923468195,9948963373021856,ACC-01,2026-06-11,3.3401,207,5,1,1.0,2.5781,-0.762,-0.2281,2.5781,3.3401,0.024155,0.2,2026-06-10,2
730121282923468195,9948963373021856,ACC-01,2026-06-12,3.5052,218,8,2,2.0,5.588,2.0828,0.5942,2.794,1.7526,0.036697,0.25,2026-06-10,3
730130498832619200,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730130498832619200,9948963373021856,ACC-01,2026-06-10,1.9685,62,5,0,0.0,4.4704,2.5019,1.271,0.0,0.0,0.080645,0.0,2026-06-10,1
730130498832619200,9948963373021856,ACC-01,2026-06-11,5.1308,196,8,2,2.0,2.4892,-2.6416,-0.5149,1.2446,2.5654,0.040816,0.25,2026-06-10,2
730130498832619200,9948963373021856,ACC-01,2026-06-12,5.8166,179,15,5,5.0,9.7663,3.9497,0.679,1.9533,1.1633,0.083799,0.333333,2026-06-10,3
730115490245309167,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730115490245309167,9948963373021856,ACC-01,2026-06-10,1.4605,69,4,0,0.0,9.5631,8.1026,5.5478,0.0,0.0,0.057971,0.0,2026-06-10,1
730115490245309167,9948963373021856,ACC-01,2026-06-11,3.4544,314,9,2,2.0,4.8641,1.4097,0.4081,2.432,1.7272,0.028662,0.222222,2026-06-10,2
730115490245309167,9948963373021856,ACC-01,2026-06-12,2.7686,220,8,1,1.0,0.1905,-2.5781,-0.9312,0.1905,2.7686,0.036364,0.125,2026-06-10,3
730110880388561894,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730110880388561894,9948963373021856,ACC-01,2026-06-10,1.2573,65,0,0,0.0,0.0,-1.2573,-1.0,0.0,0.0,0.0,,2026-06-10,1
730110880388561894,9948963373021856,ACC-01,2026-06-11,1.5494,95,1,0,0.0,0.0889,-1.4605,-0.9426,0.0,0.0,0.010526,0.0,2026-06-10,2
730110880388561894,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,2
730116715642536551,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730116715642536551,9948963373021856,ACC-01,2026-06-10,3.3909,584,24,9,10.0,3.7465,0.3556,0.1049,0.3747,0.3391,0.041096,0.375,2026-06-10,1
730116715642536551,9948963373021856,ACC-01,2026-06-11,6.731,919,27,3,3.0,3.3909,-3.3401,-0.4962,1.1303,2.2437,0.02938,0.111111,2026-06-10,2
730116715642536551,9948963373021856,ACC-01,2026-06-12,5.9055,736,25,10,14.0,9.398,3.4925,0.5914,0.6713,0.4218,0.033967,0.4,2026-06-10,3
730182765168352769,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730182765168352769,9948963373021856,ACC-01,2026-06-10,0.3683,134,6,0,0.0,0.0,-0.3683,-1.0,0.0,0.0,0.044776,0.0,2026-06-10,1
730182765168352769,9948963373021856,ACC-01,2026-06-11,1.4986,671,26,0,0.0,0.6223,-0.8763,-0.5847,0.0,0.0,0.038748,0.0,2026-06-10,2
730182765168352769,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,2
730122677398545490,9948963373021856,ACC-01,2026-06-09,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,0
730122677398545490,9948963373021856,ACC-01,2026-06-10,1.7907,52,4,0,0.0,0.8255,-0.9652,-0.539,0.0,0.0,0.076923,0.0,2026-06-10,1
730122677398545490,9948963373021856,ACC-01,2026-06-11,0.8509,61,2,0,0.0,0.0,-0.8509,-1.0,0.0,0.0,0.032787,0.0,2026-06-10,2
730122677398545490,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-10,2
730114423158246732,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730114423158246732,9948963373021856,ACC-01,2026-06-11,1.7526,52,5,0,0.0,0.5588,-1.1938,-0.6812,0.0,0.0,0.096154,0.0,2026-06-11,1
730114423158246732,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730127340204266365,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730127340204266365,9948963373021856,ACC-01,2026-06-11,2.9718,122,15,12,12.0,6.6167,3.6449,1.2265,0.5514,0.2476,0.122951,0.8,2026-06-11,1
730127340204266365,9948963373021856,ACC-01,2026-06-12,3.8227,183,22,5,5.0,2.794,-1.0287,-0.2691,0.5588,0.7645,0.120219,0.227273,2026-06-11,2
730133169849406348,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730133169849406348,9948963373021856,ACC-01,2026-06-11,0.127,2,0,0,0.0,0.0,-0.127,-1.0,0.0,0.0,0.0,,2026-06-11,1
730133169849406348,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730170188171956872,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730170188171956872,9948963373021856,ACC-01,2026-06-11,0.8255,111,5,0,0.0,0.0,-0.8255,-1.0,0.0,0.0,0.045045,0.0,2026-06-11,1
730170188171956872,9948963373021856,ACC-01,2026-06-12,0.3683,53,1,0,0.0,0.0,-0.3683,-1.0,0.0,0.0,0.018868,0.0,2026-06-11,2
730119255223337536,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730119255223337536,9948963373021856,ACC-01,2026-06-11,0.6096,20,4,0,0.0,0.0,-0.6096,-1.0,0.0,0.0,0.2,0.0,2026-06-11,1
730119255223337536,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730145818928346722,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730145818928346722,9948963373021856,ACC-01,2026-06-11,1.3462,79,10,3,3.0,1.9685,0.6223,0.4623,0.6562,0.4487,0.126582,0.3,2026-06-11,1
730145818928346722,9948963373021856,ACC-01,2026-06-12,1.6764,93,19,4,4.0,3.3401,1.6637,0.9924,0.835,0.4191,0.204301,0.210526,2026-06-11,2
730127248458779163,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730127248458779163,9948963373021856,ACC-01,2026-06-11,0.9271,403,18,1,1.0,0.762,-0.1651,-0.1781,0.762,0.9271,0.044665,0.055556,2026-06-11,1
730127248458779163,9948963373021856,ACC-01,2026-06-12,1.016,368,14,5,5.0,1.4859,0.4699,0.4625,0.2972,0.2032,0.038043,0.357143,2026-06-11,2
730119617770847064,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730119617770847064,9948963373021856,ACC-01,2026-06-11,1.3716,72,4,1,1.0,0.6223,-0.7493,-0.5463,0.6223,1.3716,0.055556,0.25,2026-06-11,1
730119617770847064,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730125998661163305,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730125998661163305,9948963373021856,ACC-01,2026-06-11,0.8763,191,16,7,7.0,1.4986,0.6223,0.7101,0.2141,0.1252,0.08377,0.4375,2026-06-11,1
730125998661163305,9948963373021856,ACC-01,2026-06-12,0.7239,120,13,0,0.0,0.0,-0.7239,-1.0,0.0,0.0,0.108333,0.0,2026-06-11,2
730194610463382060,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730194610463382060,9948963373021856,ACC-01,2026-06-11,2.8067,251,40,17,21.0,4.826,2.0193,0.7195,0.2298,0.1337,0.159363,0.425,2026-06-11,1
730194610463382060,9948963373021856,ACC-01,2026-06-12,2.1336,244,32,14,14.0,2.7305,0.5969,0.2798,0.195,0.1524,0.131148,0.4375,2026-06-11,2
730114540327016425,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730114540327016425,9948963373021856,ACC-01,2026-06-11,0.1016,25,3,0,0.0,0.0,-0.1016,-1.0,0.0,0.0,0.12,0.0,2026-06-11,1
730114540327016425,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730124530082785923,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730124530082785923,9948963373021856,ACC-01,2026-06-11,1.3462,75,8,0,0.0,0.0,-1.3462,-1.0,0.0,0.0,0.106667,0.0,2026-06-11,1
730124530082785923,9948963373021856,ACC-01,2026-06-12,0.6477,37,6,1,1.0,1.0795,0.4318,0.6667,1.0795,0.6477,0.162162,0.166667,2026-06-11,2
730113864416407685,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730113864416407685,9948963373021856,ACC-01,2026-06-11,0.8636,153,6,0,0.0,0.0,-0.8636,-1.0,0.0,0.0,0.039216,0.0,2026-06-11,1
730113864416407685,9948963373021856,ACC-01,2026-06-12,0.6096,108,3,1,1.0,0.5969,-0.0127,-0.0208,0.5969,0.6096,0.027778,0.333333,2026-06-11,2
730111226680410351,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730111226680410351,9948963373021856,ACC-01,2026-06-11,0.1143,26,0,0,0.0,0.0,-0.1143,-1.0,0.0,0.0,0.0,,2026-06-11,1
730111226680410351,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730113735576237473,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730113735576237473,9948963373021856,ACC-01,2026-06-11,2.413,149,18,1,1.0,0.9525,-1.4605,-0.6053,0.9525,2.413,0.120805,0.055556,2026-06-11,1
730113735576237473,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730121159705267177,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730121159705267177,9948963373021856,ACC-01,2026-06-11,1.3208,55,4,0,0.0,0.4572,-0.8636,-0.6538,0.0,0.0,0.072727,0.0,2026-06-11,1
730121159705267177,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730192364367352387,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730192364367352387,9948963373021856,ACC-01,2026-06-11,0.1143,18,1,0,0.0,0.0,-0.1143,-1.0,0.0,0.0,0.055556,0.0,2026-06-11,1
730192364367352387,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730128621892018871,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730128621892018871,9948963373021856,ACC-01,2026-06-11,1.2065,70,3,0,0.0,0.0,-1.2065,-1.0,0.0,0.0,0.042857,0.0,2026-06-11,1
730128621892018871,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730169861242430926,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730169861242430926,9948963373021856,ACC-01,2026-06-11,0.9144,71,17,4,4.0,5.8928,4.9784,5.4444,1.4732,0.2286,0.239437,0.235294,2026-06-11,1
730169861242430926,9948963373021856,ACC-01,2026-06-12,1.0922,114,8,5,5.0,2.2987,1.2065,1.1047,0.4597,0.2184,0.070175,0.625,2026-06-11,2
730110894220584701,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730110894220584701,9948963373021856,ACC-01,2026-06-11,1.2446,95,10,2,2.0,0.4699,-0.7747,-0.6224,0.235,0.6223,0.105263,0.2,2026-06-11,1
730110894220584701,9948963373021856,ACC-01,2026-06-12,1.2954,118,11,5,5.0,4.699,3.4036,2.6275,0.9398,0.2591,0.09322,0.454545,2026-06-11,2
730115336521664298,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730115336521664298,9948963373021856,ACC-01,2026-06-11,1.016,57,9,0,0.0,0.127,-0.889,-0.875,0.0,0.0,0.157895,0.0,2026-06-11,1
730115336521664298,9948963373021856,ACC-01,2026-06-12,1.2446,75,15,1,1.0,4.0894,2.8448,2.2857,4.0894,1.2446,0.2,0.066667,2026-06-11,2
730131084498528027,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730131084498528027,9948963373021856,ACC-01,2026-06-11,0.0254,3,0,0,0.0,0.0,-0.0254,-1.0,0.0,0.0,0.0,,2026-06-11,1
730131084498528027,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730183556611520386,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730183556611520386,9948963373021856,ACC-01,2026-06-11,0.9271,92,14,5,5.0,0.7112,-0.2159,-0.2329,0.1422,0.1854,0.152174,0.357143,2026-06-11,1
730183556611520386,9948963373021856,ACC-01,2026-06-12,1.1049,105,14,13,38.0,8.0391,6.9342,6.2759,0.2116,0.0291,0.133333,0.928571,2026-06-11,2
730188716765660042,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730188716765660042,9948963373021856,ACC-01,2026-06-11,1.7018,203,25,23,31.0,7.9248,6.223,3.6567,0.2556,0.0549,0.123153,0.92,2026-06-11,1
730188716765660042,9948963373021856,ACC-01,2026-06-12,2.8575,507,56,21,29.0,7.5311,4.6736,1.6356,0.2597,0.0985,0.110454,0.375,2026-06-11,2
730132904621857159,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730132904621857159,9948963373021856,ACC-01,2026-06-11,1.2446,46,5,1,1.0,0.4826,-0.762,-0.6122,0.4826,1.2446,0.108696,0.2,2026-06-11,1
730132904621857159,9948963373021856,ACC-01,2026-06-12,0.2032,24,1,2,2.0,1.6891,1.4859,7.3125,0.8446,0.1016,0.041667,2.0,2026-06-11,2
730119228592313186,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730119228592313186,9948963373021856,ACC-01,2026-06-11,0.9017,1243,39,3,3.0,1.5113,0.6096,0.6761,0.5038,0.3006,0.031376,0.076923,2026-06-11,1
730119228592313186,9948963373021856,ACC-01,2026-06-12,0.8382,959,25,2,2.0,0.1905,-0.6477,-0.7727,0.0952,0.4191,0.026069,0.08,2026-06-11,2
730111101891540186,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730111101891540186,9948963373021856,ACC-01,2026-06-11,0.8763,1446,63,4,4.0,1.4859,0.6096,0.6957,0.3715,0.2191,0.043568,0.063492,2026-06-11,1
730111101891540186,9948963373021856,ACC-01,2026-06-12,0.8128,1291,41,2,2.0,0.3683,-0.4445,-0.5469,0.1842,0.4064,0.031758,0.04878,2026-06-11,2
730122643076404648,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730122643076404648,9948963373021856,ACC-01,2026-06-11,0.1143,89,4,0,0.0,0.0,-0.1143,-1.0,0.0,0.0,0.044944,0.0,2026-06-11,1
730122643076404648,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730110245237439923,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730110245237439923,9948963373021856,ACC-01,2026-06-11,1.1303,149,14,6,6.0,5.8293,4.699,4.1573,0.9716,0.1884,0.09396,0.428571,2026-06-11,1
730110245237439923,9948963373021856,ACC-01,2026-06-12,0.9017,128,15,4,4.0,1.8923,0.9906,1.0986,0.4731,0.2254,0.117188,0.266667,2026-06-11,2
730116091923288104,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730116091923288104,9948963373021856,ACC-01,2026-06-11,0.9017,182,4,1,1.0,2.7051,1.8034,2.0,2.7051,0.9017,0.021978,0.25,2026-06-11,1
730116091923288104,9948963373021856,ACC-01,2026-06-12,0.7366,276,1,0,0.0,0.0,-0.7366,-1.0,0.0,0.0,0.003623,0.0,2026-06-11,2
730159762268733164,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730159762268733164,9948963373021856,ACC-01,2026-06-11,0.254,50,3,0,0.0,0.0,-0.254,-1.0,0.0,0.0,0.06,0.0,2026-06-11,1
730159762268733164,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730155674236274489,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730155674236274489,9948963373021856,ACC-01,2026-06-11,1.8034,49,11,2,2.0,1.9177,0.1143,0.0634,0.9588,0.9017,0.22449,0.181818,2026-06-11,1
730155674236274489,9948963373021856,ACC-01,2026-06-12,0.6985,26,3,0,0.0,0.0,-0.6985,-1.0,0.0,0.0,0.115385,0.0,2026-06-11,2
730121296696915879,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730121296696915879,9948963373021856,ACC-01,2026-06-11,0.8001,85,3,0,0.0,0.5969,-0.2032,-0.254,0.0,0.0,0.035294,0.0,2026-06-11,1
730121296696915879,9948963373021856,ACC-01,2026-06-12,0.2921,20,1,0,0.0,0.0,-0.2921,-1.0,0.0,0.0,0.05,0.0,2026-06-11,2
730118457951967215,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730118457951967215,9948963373021856,ACC-01,2026-06-11,0.2159,47,1,0,0.0,0.0,-0.2159,-1.0,0.0,0.0,0.021277,0.0,2026-06-11,1
730118457951967215,9948963373021856,ACC-01,2026-06-12,0.3556,27,1,0,0.0,0.0,-0.3556,-1.0,0.0,0.0,0.037037,0.0,2026-06-11,2
730149095117978741,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730149095117978741,9948963373021856,ACC-01,2026-06-11,1.2446,48,3,0,0.0,0.0,-1.2446,-1.0,0.0,0.0,0.0625,0.0,2026-06-11,1
730149095117978741,9948963373021856,ACC-01,2026-06-12,0.4191,23,1,0,0.0,0.0,-0.4191,-1.0,0.0,0.0,0.043478,0.0,2026-06-11,2
730115202168917499,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730115202168917499,9948963373021856,ACC-01,2026-06-11,1.2446,41,3,0,0.0,0.0,-1.2446,-1.0,0.0,0.0,0.073171,0.0,2026-06-11,1
730115202168917499,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
730111934220320336,9948963373021856,ACC-01,2026-06-10,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,0
730111934220320336,9948963373021856,ACC-01,2026-06-11,0.127,58,0,0,0.0,0.0,-0.127,-1.0,0.0,0.0,0.0,,2026-06-11,1
730111934220320336,9948963373021856,ACC-01,2026-06-12,0.0,0,0,0,,,,0.0,0.0,0.0,,,2026-06-11,1
